Product  Name,Farmers Distance,Farmers Seling Price,Wholesalers distance,Wholesalers selling price,Retailers distance,Retailers selling price,High Cost Product,Market Structure,Power imbalance,Lack of information,Limited access to finance,inadequate logistic,Lack of policy support,Dependence on middlemen,Climate Change,Inadequate govt support,Quality and Grading,Market power of intermedianies
Garlic,7,50,5,55,2,35,5,3,4,3,4,3,3,5,4,2,2,5
Green Chili,50,20,14,30,1,40,4,2,5,4,3,3,4,5,3,3,3,5
Banana,11,13,10,10,3,15,3,2,3,4,5,3,3,4,2,2,3,4
Bottol gourd,50,20,4,25,5,35,3,3,3,4,4,3,4,4,4,2,3,3
Brinjal,14,40,4,42,2,45,5,3,3,3,4,3,5,3,2,3,4,4
Bitter gourd,80,40,82,45,1,50,5,3,3,4,4,3,4,4,2,2,4,4
Ridge Gourd,46,20,45,20,5,30,3,3,3,3,4,3,3,4,2,3,3,3
Papaya,21,5,21,10,6,15,2,3,3,4,5,4,4,3,2,1,4,4
Arum lobe,45,12,7,15,2,20,4,2,2,4,2,4,4,2,1,1,4,2
Arum,7,15,69,18,1,25,3,2,2,4,3,4,4,4,2,3,4,3
Ladies finger,5,25,10,32,3,35,2,4,2,2,4,2,5,3,3,3,2,3
Cauliflower,114,45,14,60,5,70,5,4,4,3,5,3,4,4,3,3,3,4
Cabbage,69,20,10,30,3,40,5,3,5,2,5,3,4,3,2,4,4,4
Lemon,77,10,19,15,2,20,3,3,4,4,4,4,3,5,1,3,4,5
White Pumpkin,112,15,3,18,1,20,3,4,3,3,4,3,4,3,2,4,3,3
Basil,112,10,15,12,1,15,4,2,4,4,4,4,4,4,3,4,5,3
Palm,112,10,15,15,3,20,4,2,3,4,3,4,2,4,3,4,3,3
Pumpkin,71,10,1,20,2,30,3,3,2,4,2,3,4,3,4,3,5,4
Hog Plum,71,10,1,15,1,25,3,2,3,4,2,4,2,4,3,5,5,4
Gati,15,25,19,30,1,40,4,2,3,4,3,3,4,3,3,2,0,3
Zucchini,3,5,24,8,3,15,3,2,3,4,4,4,3,4,2,2,3,4
Sweet Bitter Gourd,36,20,117,25,1,30,5,3,3,4,4,3,5,4,2,5,4,4
Palwal,15,20,117,25,3,30,3,3,3,3,1,3,4,4,3,4,4,4
Radish,2,25,24,35,3,45,3,4,2,2,3,2,4,3,2,4,3,2
Red Leafy,15,10,10,12,2,15,2,3,3,2,4,2,2,3,2,3,4,3
Tomato,2,20,19,24,4,32,3,4,3,2,3,2,4,4,3,5,2,4
Carrots,117,20,19,26,2,32,3,4,3,3,5,3,4,4,3,4,3,4
Bean,117,50,2,110,1,130,5,3,3,3,4,3,3,4,2,4,3,3
Onion,114,28,5,36,3,40,3,3,4,3,3,4,3,5,4,4,4,5
Potato,71,20,3,23,2,25,3,3,3,2,3,2,4,3,3,4,4,3
Garlic,66,50,1,55,1,60,5,3,4,3,1,3,2,5,4,5,3,5
Green Chili,112,20,2,30,3,40,4,2,4,4,2,3,5,5,3,2,5,5
Banana,71,8,18,10,2,15,3,2,3,4,3,3,2,4,2,3,3,0
Bottol gourd,1,20,10,25,2,35,3,3,3,4,2,3,3,4,4,4,5,3
Brinjal,1,40,10,42,1,45,5,3,3,3,1,3,4,3,2,5,5,4
Bitter gourd,2,40,19,45,1,50,5,3,3,4,2,3,5,4,2,5,4,4
Ridge Gourd,3,20,24,25,2,30,3,3,3,3,2,3,4,4,2,4,3,3
Papaya,71,5,18,10,3,15,2,3,3,4,1,4,4,3,2,4,4,4
Arum lobe,71,12,1,15,2,20,4,2,2,4,3,4,3,2,1,4,4,2
Arum,82,15,19,18,1,25,3,2,2,4,2,4,2,4,2,3,3,3
Ladies finger,112,25,15,32,1,35,2,4,2,2,3,2,4,3,3,2,4,3
Cauliflower,117,45,1,60,2,70,5,4,4,3,1,3,2,4,3,2,2,4
Cabbage,117,20,2,30,3,40,5,3,5,2,1,3,3,3,2,3,3,4
Lemon,2,10,109,15,9,25,4,3,3,4,4,3,4,4,3,3,3,3
White Pumpkin,1,15,109,18,3,21,3,4,3,5,4,5,4,5,4,3,4,5
Basil,0.5,10,7,12,5,23,3,2,2,4,3,3,3,2,3,3,3,3
Palm,0.5,10,4,15,3,24,2,3,2,3,5,4,5,3,2,4,2,5
Pumpkin,1,10,11,20,3,30,2,3,2,4,2,4,2,4,3,4,2,5
Hog Plum,1,10,11,15,2,25,3,3,5,4,2,3,2,5,5,3,3,4
Gati,1,25,14,30,1,40,2,4,4,4,5,4,5,5,3,4,2,3
Zucchini,0.5,5,14,8,2,15,2,2,5,3,4,3,4,4,2,4,3,4
Sweet Bitter Gourd,1,20,5,25,2,30,4,2,3,5,4,4,4,4,2,4,4,4
Palwal,1,25,5,25,6,30,4,4,4,2,3,4,3,4,3,2,3,3
Radish,1,25,14,35,9,45,3,4,3,2,5,4,5,3,3,3,3,4
Red Leafy,1,10,10,12,3,15,3,3,2,5,4,3,4,2,4,4,4,2
Tomato,1,20,4,24,5,32,5,3,3,4,4,3,4,2,3,4,2,3
Carrots,2,20,4,26,3,32,3,4,3,4,4,4,4,3,2,3,2,3
Bean,0.5,50,82,110,3,130,5,3,3,3,4,4,4,4,2,5,3,4
Onion,0.5,28,45,36,2,40,5,3,3,5,5,4,5,4,3,3,2,4
Potato,1,20,21,23,50,25,5,3,3,4,2,5,2,1,2,5,2,5
Garlic,2,50,7,55,5,35,5,4,2,4,3,3,3,3,3,5,2,3
Green Chili,1,20,69,30,5,40,4,4,3,4,4,5,4,4,4,0,3,3
Banana,0.5,13,10,10,5,15,3,3,5,4,5,5,5,3,3,3,3,3
Bottol gourd,0.5,20,14,25,3,35,3,3,3,5,5,4,5,5,3,4,4,4
Brinjal,4,40,10,42,64,45,3,3,3,2,4,4,4,4,4,4,3,4
Bitter gourd,2,40,19,45,11,50,5,4,4,3,4,3,4,3,2,3,4,3
Ridge Gourd,3,20,3,25,10,30,3,4,3,4,4,4,4,3,2,4,5,4
Papaya,1.5,5,15,10,5,15,5,3,4,5,3,4,3,1,3,2,3,4
Arum lobe,4,12,15,15,1,20,5,3,5,5,2,3,2,2,2,3,3,4
Arum,3,15,1,18,14,25,2,3,3,4,2,2,2,3,2,3,3,2
Ladies finger,2,25,11,32,10,35,2,2,3,3,3,4,3,2,2,4,3,3
Cauliflower,1,45,13,60,9,70,3,2,5,3,4,3,4,1,3,4,2,4
Cabbage,2,20,10,30,12,40,3,2,3,5,4,1,4,2,3,3,2,4
